[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/2/x-1/z2.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/0/x1/z1.prbm? HTTP/1.1" 200 OK
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/3/x-1/z2.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/1/x2/z2.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/1/x1/z2.png? HTTP/1.1" 200 OK
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/2/x-2/z2.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/3/x-2/z2.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/1/x0/z2.png? HTTP/1.1" 200 OK
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/1/x-1/z2.png? HTTP/1.1" 200 OK
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/3/x-2/z1.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/2/x-2/z1.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/0/x-1/z1.prbm? HTTP/1.1" 200 OK
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/0/x0/z1.prbm? HTTP/1.1" 200 OK
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/3/x-2/z0.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/3/x-2/z-1.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/2/x-2/z0.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/0/x-2/z1.prbm? HTTP/1.1" 200 OK
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/2/x-2/z-1.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/3/x-2/z-2.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/0/x-3/z1.prbm? HTTP/1.1" 200 OK
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/1/x-2/z2.png? HTTP/1.1" 200 OK
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/2/x-2/z-2.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/2/x-1/z-2.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/1/x-2/z1.png? HTTP/1.1" 200 OK
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/0/x-3/z0.prbm? HTTP/1.1" 200 OK
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/1/x-2/z0.png? HTTP/1.1" 200 OK
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/2/x0/z-2.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/0/x-3/z-1.prbm? HTTP/1.1" 200 OK
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/2/x1/z-2.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/3/x-1/z-2.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/2/x2/z-2.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/1/x-2/z-2.png? HTTP/1.1" 200 OK
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/1/x-2/z-1.png? HTTP/1.1" 200 OK
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/3/x1/z-2.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/3/x2/z-2.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/0/x-3/z-3.prbm? HTTP/1.1" 200 OK
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/0/x-3/z-2.prbm? HTTP/1.1" 200 OK
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/3/x0/z-2.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/1/x-1/z-2.png? HTTP/1.1" 200 OK
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/3/x3/z-2.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/2/x3/z-2.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/1/x0/z-2.png? HTTP/1.1" 200 OK
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/3/x3/z-1.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/2/x3/z-1.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/3/x3/z0.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/1/x1/z-2.png? HTTP/1.1" 200 OK
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/0/x-2/z-3.prbm? HTTP/1.1" 200 OK
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/2/x3/z0.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/3/x3/z1.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/2/x3/z2.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/0/x0/z-3.prbm? HTTP/1.1" 200 OK
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/0/x1/z-3.prbm? HTTP/1.1" 200 OK
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/2/x3/z1.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/0/x-1/z-3.prbm? HTTP/1.1" 200 OK
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/1/x2/z-2.png? HTTP/1.1" 200 OK
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/2/x3/z3.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/2/x2/z3.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/2/x1/z3.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/1/x3/z-1.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/1/x3/z-2.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/1/x3/z0.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/3/x3/z2.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/0/x2/z-2.prbm? HTTP/1.1" 200 OK
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/0/x2/z-3.prbm? HTTP/1.1" 200 OK
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/1/x3/z1.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/3/x3/z3.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/2/x0/z3.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/3/x1/z3.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/3/x2/z3.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/1/x3/z2.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/3/x-1/z3.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/0/x2/z-1.prbm? HTTP/1.1" 200 OK
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/3/x0/z3.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/1/x3/z3.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/2/x-1/z3.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/0/x2/z0.prbm? HTTP/1.1" 200 OK
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/3/x-2/z3.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/2/x-2/z3.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/3/x-3/z3.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/1/x2/z3.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/2/x-3/z1.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/0/x2/z2.prbm? HTTP/1.1" 200 OK
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/2/x-3/z2.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/2/x-3/z3.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/0/x2/z1.prbm? HTTP/1.1" 200 OK
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/0/x1/z2.prbm? HTTP/1.1" 200 OK
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/2/x-3/z0.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/1/x1/z3.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/0/x0/z2.prbm? HTTP/1.1" 200 OK
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/1/x-1/z3.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/2/x-3/z-1.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/1/x0/z3.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/1/x-2/z3.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/3/x-3/z2.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/1/x-3/z3.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/2/x-3/z-2.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/1/x-3/z2.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/3/x-3/z1.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/3/x-3/z0.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/0/x-2/z2.prbm? HTTP/1.1" 200 OK
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/3/x-3/z-1.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/0/x-1/z2.prbm? HTTP/1.1" 200 OK
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/1/x-3/z1.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/3/x-3/z-2.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/2/x-3/z-3.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/3/x-3/z-3.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/0/x-3/z2.prbm? HTTP/1.1" 200 OK
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/2/x-2/z-3.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/1/x-3/z0.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/0/x-4/z2.prbm? HTTP/1.1" 200 OK
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/3/x-2/z-3.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/3/x-1/z-3.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/2/x-1/z-3.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/2/x1/z-3.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/2/x2/z-3.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/2/x0/z-3.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/1/x-3/z-1.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/0/x-4/z1.prbm? HTTP/1.1" 200 OK
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/0/x-4/z0.prbm? HTTP/1.1" 200 OK
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/0/x-4/z-1.prbm? HTTP/1.1" 200 OK
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/1/x-3/z-2.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/2/x3/z-3.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/0/x-4/z-2.prbm? HTTP/1.1" 200 OK
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/1/x-2/z-3.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/1/x-1/z-3.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/1/x-3/z-3.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/2/x4/z-3.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/3/x0/z-3.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/1/x0/z-3.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/3/x2/z-3.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/3/x1/z-3.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/3/x3/z-3.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/3/x4/z-3.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/2/x4/z-2.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/1/x1/z-3.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/3/x4/z-2.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/3/x4/z0.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/2/x4/z-1.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/0/x-4/z-3.prbm? HTTP/1.1" 200 OK
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/1/x2/z-3.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/3/x4/z-1.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/2/x4/z0.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/2/x4/z2.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/2/x4/z1.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/1/x3/z-3.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/2/x4/z3.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/1/x4/z-3.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/1/x4/z-1.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/1/x4/z-2.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/1/x4/z0.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/2/x4/z4.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/2/x3/z4.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/3/x4/z1.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/2/x2/z4.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/3/x4/z4.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/1/x4/z2.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/1/x4/z1.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/3/x4/z2.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/3/x4/z3.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/3/x1/z4.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/3/x3/z4.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/3/x2/z4.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/2/x1/z4.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/1/x4/z3.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/2/x0/z4.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/1/x4/z4.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/3/x0/z4.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/2/x-1/z4.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/2/x-2/z4.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/1/x3/z4.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/2/x-3/z4.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/1/x2/z4.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/2/x-4/z3.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/3/x-1/z4.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/1/x0/z4.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/1/x1/z4.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/2/x-4/z4.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/2/x-4/z2.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/3/x-3/z4.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/3/x-4/z4.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/1/x-2/z4.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/1/x-1/z4.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/3/x-2/z4.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/3/x-4/z3.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/3/x-4/z2.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/2/x-4/z1.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/3/x-4/z1.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/2/x-4/z0.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/1/x-3/z4.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/1/x-4/z4.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/2/x-4/z-1.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/3/x-4/z0.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/2/x-4/z-2.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/2/x-4/z-3.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/1/x-4/z3.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/1/x-4/z2.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/3/x-4/z-1.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/1/x-4/z-1.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/3/x-4/z-2.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/1/x-4/z0.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/1/x-4/z1.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/3/x-4/z-3.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/1/x-4/z-2.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:17][INFO] 192.168.1.230 "GET /maps/world/tiles/1/x-4/z-3.png? HTTP/1.1" 204 No Content
[2026-07-22 08:09:18][INFO] 192.168.1.230 "GET /maps/world/live/players.json? HTTP/1.1" 200 OK
[2026-07-22 08:09:19][INFO] 192.168.1.230 "GET /maps/world/live/players.json? HTTP/1.1" 200 OK
[2026-07-22 08:09:20][INFO] 192.168.1.230 "GET /maps/world/live/players.json? HTTP/1.1" 200 OK
[2026-07-22 08:09:21][INFO] 192.168.1.230 "GET /maps/world/live/players.json? HTTP/1.1" 200 OK
[2026-07-22 08:09:21][INFO] 192.168.1.230 "GET /maps/world/tiles/0/x8/z0.prbm? HTTP/1.1" 200 OK
